City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
528,sao joao da barra,-21.6403,-41.0511,22.68,92,100,4.02,BR,1674352127
529,abomsa,9.9833,39.9833,16.35,52,100,0.33,ET,1674352127
530,kabalo,-6.05,26.9167,19.0,98,100,0.86,CD,1674352128
531,victoria,22.2855,114.1577,19.58,82,98,1.79,HK,1674351838
532,at-bashi,41.1702,75.8106,-19.95,48,41,1.47,KG,1674351851
533,rawson,-43.3002,-65.1023,21.16,78,40,2.06,AR,1674352125
534,lappeenranta,61.0587,28.1887,-4.55,93,100,2.06,FI,1674352130
535,biak,-0.9131,122.8766,27.85,63,100,0.29,ID,1674351944
536,jinhua,29.1078,119.6547,9.61,93,100,0.67,CN,1674352131
537,bogo,11.0517,124.0055,27.12,75,96,5.2,PH,1674352131
538,murdochville,48.9583,-65.5006,-13.51,90,9,1.8,CA,1674352132
539,nhulunbuy,-12.2333,136.7667,26.34,94,75,3.6,AU,1674352133
540,hashimoto,34.3167,135.6167,5.97,42,54,1.86,JP,1674352134
541,tigil,57.8,158.6667,-27.64,91,99,1.03,RU,1674352134
542,talnakh,69.4865,88.3972,-19.33,66,100,6.64,RU,1674352096
543,kamina,-8.7386,24.9906,14.94,97,100,1.68,CD,1674352135
544,laukaa,58.7372,29.8453,-6.32,95,9,3.06,RU,1674352137
545,beaverlodge,55.2166,-119.4361,1.64,88,100,2.92,CA,1674352137
546,mogadishu,2.0371,45.3438,25.24,76,93,7.67,SO,1674352132
547,los llanos de aridane,28.6585,-17.9182,16.18,74,75,4.12,ES,1674352138
548,el dorado,38.7666,-120.5177,4.54,83,64,1.34,US,1674352139
549,reitz,-27.8014,28.4273,14.28,54,8,3.4,ZA,1674352140
550,aleksandrov gay,50.147,48.5704,-7.23,82,21,3.69,RU,1674352142
551,cerqueira cesar,-23.0356,-49.1661,19.78,91,100,0.61,BR,1674352143
552,oxford,51.7522,-1.256,-3.23,86,5,0.0,GB,1674352145
553,malartic,48.1335,-78.1328,-8.94,93,100,3.57,CA,1674351930
554,mayskiy,47.6931,40.1025,-0.33,77,100,6.47,RU,1674352148
555,vilhena,-12.7406,-60.1458,20.25,96,15,1.59,BR,1674352149
556,saint stephen,50.3333,-4.9,5.97,76,99,4.73,GB,1674352150
557,taunggyi,20.7833,97.0333,14.85,35,73,0.12,MM,1674352151
558,garissa,-0.4536,39.6401,25.7,74,100,3.92,KE,1674352152
559,pula,44.8683,13.8481,6.31,52,100,11.32,HR,1674351888
560,sikasso,10.9167,-7.0,23.78,20,0,0.82,ML,1674352153
561,carballo,43.213,-8.691,7.73,89,57,1.19,ES,1674352154
562,ramanuj ganj,23.8,83.7,15.23,62,1,0.79,IN,1674352155
563,marsh harbour,26.5412,-77.0636,23.32,82,100,6.16,BS,1674352156
564,arinos,-15.9169,-46.1056,21.84,90,100,0.58,BR,1674352157
565,zarechnyy,53.2036,45.1923,-8.16,18,100,3.15,RU,1674352158
566,freeport,40.6576,-73.5832,4.18,65,100,3.09,US,1674351986
567,adrar,20.5022,-10.0711,15.44,21,3,5.11,MR,1674351954
568,shelburne,44.0787,-80.2041,-2.56,95,100,3.26,CA,1674352160
569,willmar,45.1219,-95.0433,-7.03,93,100,0.0,US,1674352161
570,valley city,46.9233,-98.0032,-11.71,100,6,5.14,US,1674352162
571,blackwater,-23.5833,148.8833,29.48,49,14,2.71,AU,1674352163
572,camacha,33.0833,-16.3333,14.68,88,40,5.14,PT,1674351890
573,kholodnyy,62.7167,147.95,-26.79,96,100,2.6,RU,1674352168
574,laguna,38.421,-121.4238,11.16,64,0,2.57,US,1674352170
575,yar-sale,66.8333,70.8333,-9.15,96,100,1.99,RU,1674351882
576,flinders,-34.5833,150.8552,20.66,88,100,3.13,AU,1674352110
577,mayo,38.8876,-76.5119,5.08,64,100,1.54,US,1674352172
578,krasnoselkup,65.7,82.4667,-18.37,96,100,10.59,RU,1674352173
579,ozernovskiy,51.5,156.5167,-7.46,63,100,2.17,RU,1674352173
580,nelson bay,-32.7167,152.15,20.56,96,100,2.68,AU,1674352174
